2024-05-17 07:01:57

Description 
===========





IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	C1	C2	C3	C4	IT
23.4	0.01	0.006	0.008	0.009	0	0	0	0	200.0
23.5	0.007	0.006	0.007	0.008	0	0	0	0	200.0
23.6	0.008	0.005	0.008	0.005	0	0	0	0	200.0
23.7	0.007	0.007	0.003	0.006	0	0	0	0	200.0
23.8	0.006	0.006	0.004	0.005	0	0	0	0	200.0
23.9	0.008	0.006	0.006	0.007	0	0	0	0	200.0
24.0	0.008	0.008	0.006	0.009	0	0	0	1	200.0
24.1	0.007	0.007	0.007	0.008	0	0	0	0	200.0
24.2	0.007	0.007	0.01	0.006	0	0	0	0	200.0
24.3	0.009	0.009	0.007	0.005	0	0	0	0	200.0
24.4	0.005	0.007	0.008	0.009	0	0	0	0	200.0
24.5	0.009	0.009	0.007	0.008	1	0	0	0	200.0
24.6	0.007	0.009	0.009	0.008	0	0	0	0	200.0
24.7	0.009	0.008	0.008	0.008	1	0	0	0	200.0
24.8	0.008	0.005	0.005	0.007	0	0	0	0	200.0
24.9	0.011	0.007	0.005	0.01	1	0	0	0	200.0
25.0	0.009	0.008	0.009	0.008	0	0	0	0	200.0
25.1	0.009	0.008	0.009	0.008	0	0	0	0	200.0
25.2	0.01	0.007	0.008	0.007	0	0	0	0	200.0
25.3	0.01	0.007	0.008	0.009	0	0	0	0	200.0
25.4	0.009	0.007	0.007	0.01	0	0	0	0	200.0
25.5	0.009	0.009	0.007	0.008	0	0	0	0	200.0
25.6	0.008	0.008	0.006	0.007	1	0	0	0	200.0
25.7	0.007	0.009	0.005	0.006	1	0	0	0	200.0
25.8	0.009	0.006	0.007	0.008	1	0	0	0	200.0
25.9	0.008	0.003	0.006	0.007	1	0	0	0	200.0
26.0	0.007	0.007	0.005	0.006	0	0	0	0	200.0
26.1	0.009	0.009	0.007	0.008	0	0	0	0	200.0
26.2	0.007	0.009	0.004	0.005	1	0	0	0	200.0
26.3	0.012	0.006	0.009	0.01	1	0	0	0	200.0
26.4	0.009	0.008	0.006	0.008	1	0	0	0	200.0
26.5	0.008	0.007	0.005	0.009	0	0	0	0	200.0
26.6	0.01	0.009	0.007	0.009	2	0	0	0	200.0
26.7	0.01	0.007	0.008	0.009	2	0	0	1	200.0
26.8	0.008	0.009	0.006	0.009	3	0	0	0	200.0
26.9	0.01	0.009	0.008	0.009	2	0	0	0	200.0
27.0	0.009	0.01	0.007	0.01	1	0	0	0	200.0
27.1	0.013	0.008	0.006	0.01	5	0	0	0	200.0
27.2	0.008	0.008	0.006	0.009	6	0	0	0	200.0
27.3	0.009	0.007	0.007	0.008	12	0	0	0	200.0
27.4	0.009	0.009	0.01	0.008	18	0	0	0	200.0
27.5	0.007	0.007	0.01	0.004	70	0	0	0	200.0
27.6	0.01	0.007	0.005	0.006	120	0	0	0	200.0
27.7	0.007	0.009	0.007	0.008	17	0	0	0	200.0
27.8	0.009	0.006	0.007	0.008	943	0	0	0	200.0
27.9	0.009	0.008	0.008	0.007	1497	0	0	0	200.0
28.0	0.009	0.008	0.006	0.007	2994	0	0	0	200.0
28.1	2.111	0.01	0.008	0.01	3976	0	0	0	200.0
28.2	2.566	0.011	0.009	0.011	0	0	0	0	200.0
28.3	2.585	0.005	0.003	0.01	0	0	1	0	200.0
28.4	2.596	0.009	0.008	0.009	0	0	0	0	200.0
28.5	2.608	0.009	0.008	0.009	0	0	0	0	200.0
28.6	2.619	0.006	0.007	0.008	0	0	0	0	200.0
28.7	2.629	0.009	0.007	0.008	0	0	0	0	200.0
28.8	2.638	0.01	0.008	0.009	0	0	0	0	200.0
28.9	2.649	0.009	0.01	0.008	0	2	0	0	200.0
29.0	2.658	0.009	0.007	0.008	0	1	0	0	200.0
29.1	2.667	0.008	0.006	0.01	0	2	0	0	200.0
29.2	2.679	0.007	0.005	0.009	0	6	0	0	200.0
29.3	2.688	0.009	0.007	0.008	0	6	0	0	200.0
29.4	2.698	0.007	0.01	0.011	0	34	0	0	200.0
29.5	2.709	0.008	0.006	0.009	0	66	0	1	200.0
29.6	2.719	0.007	0.008	0.006	0	132	0	0	200.0
29.7	2.727	0.008	0.006	0.008	0	195	1	0	200.0
29.8	2.74	0.009	0.009	0.014	0	454	0	0	200.0
29.9	2.749	0.011	0.006	0.013	0	779	0	0	200.0
30.0	2.758	0.007	0.005	0.009	0	2372	0	1	200.0
30.1	2.767	2.568	0.008	0.011	0	952	0	0	200.0
30.2	2.778	2.745	0.007	0.008	0	0	0	1	200.0
30.3	2.787	2.757	0.009	0.01	0	0	1	2	200.0
30.4	2.796	2.772	0.011	0.009	0	0	0	2	200.0
30.5	2.809	2.782	0.008	0.011	0	0	1	3	200.0
30.6	2.817	2.79	0.007	0.008	0	0	0	6	200.0
30.7	2.829	2.802	0.008	0.009	0	0	2	11	200.0
30.8	2.838	2.808	0.005	0.009	0	0	2	10	200.0
30.9	2.847	2.822	0.01	0.008	0	0	3	27	200.0
31.0	2.858	2.834	0.009	0.01	0	0	5	52	200.0
31.1	2.867	2.843	0.008	0.009	0	0	11	158	200.0
31.2	2.877	2.85	0.008	0.009	0	0	15	115	200.0
31.3	2.889	2.861	0.007	0.008	0	0	18	294	200.0
31.4	2.898	2.873	0.009	0.011	0	0	81	789	200.0
31.5	2.908	2.882	0.006	0.015	0	0	82	902	200.0
31.6	2.917	2.891	0.008	0.01	0	0	130	1713	200.0
31.7	2.928	2.902	0.013	0.011	0	0	325	5855	200.0
31.8	2.937	2.909	0.009	2.633	0	0	383	2067	200.0
31.9	2.947	2.921	0.009	2.909	0	0	607	0	200.0
32.0	2.958	2.932	0.008	2.922	0	0	1312	0	200.0
32.1	2.967	2.943	0.01	2.93	0	0	2501	0	200.0
32.2	2.976	2.954	0.009	2.941	0	0	4712	0	200.0
32.3	2.985	2.966	0.012	2.953	0	0	8161	0	200.0
32.4	2.998	2.971	2.923	2.961	0	0	1	0	200.0
32.5	3.011	2.982	2.972	2.968	0	0	0	0	200.0
32.6	3.019	2.993	2.983	2.982	0	0	0	0	200.0
32.7	3.025	2.999	2.994	2.99	0	0	0	0	200.0
32.8	3.04	3.011	3.004	3.002	0	0	0	0	200.0
32.9	3.048	3.022	3.015	3.012	0	0	0	0	200.0
33.0	3.062	3.031	3.022	3.021	0	0	0	0	200.0
33.1	3.069	3.044	3.034	3.034	0	0	0	0	200.0
33.2	3.08	3.054	3.04	3.042	0	0	0	0	200.0
33.3	3.091	3.064	3.052	3.054	0	0	0	0	200.0
33.4	3.101	3.073	3.064	3.063	0	0	0	0	200.0
33.5	3.11	3.084	3.073	3.074	0	0	0	0	200.0
33.6	3.121	3.091	3.085	3.081	0	0	0	0	200.0
33.7	3.128	3.103	3.094	3.095	0	0	0	0	200.0
33.8	3.139	3.11	3.101	3.104	0	0	0	0	200.0
33.9	3.148	3.122	3.115	3.113	0	0	0	0	200.0
34.0	3.158	3.131	3.121	3.12	0	0	0	0	200.0
34.1	3.17	3.143	3.131	3.134	0	0	0	0	200.0
34.2	3.178	3.146	3.142	3.143	0	0	0	0	200.0
34.3	3.191	3.162	3.152	3.153	0	0	0	0	200.0
34.4	3.199	3.169	3.163	3.161	0	0	0	0	200.0
34.5	3.205	3.183	3.172	3.173	0	0	0	0	200.0
34.6	3.218	3.195	3.178	3.184	0	0	0	0	200.0
34.7	3.226	3.203	3.189	3.194	0	0	0	0	200.0
34.8	3.236	3.211	3.201	3.203	0	0	0	0	200.0
34.9	3.248	3.223	3.214	3.216	0	0	0	0	200.0
35.0	3.257	3.231	3.224	3.224	0	0	0	0	200.0
